ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction,implied_vol
SPY,2026-03-19,675.0,2.71,2.76,2.735,2.75,5615.0,2472.0,662.2899780273438,0.0082191780821917,0.981170337818287,-0.0190091975701566,0.0906596827823244,0.0080644137354926,0.3044006869130731
SPY,2026-03-19,676.0,2.39,2.44,2.415,2.44,1586.0,893.0,662.2899780273438,0.0082191780821917,0.9797189024073132,-0.0204895827405909,0.0906596827823244,0.008052484129375,0.2998507678707837
SPY,2026-03-19,677.0,2.1,2.14,2.12,2.15,1603.0,643.0,662.2899780273438,0.0082191780821917,0.9782717548409804,-0.0219677796099017,0.0906596827823244,0.0080405897658161,0.29537961634030935
SPY,2026-03-19,678.0,1.82,1.86,1.84,1.86,1551.0,825.0,662.2899780273438,0.0082191780821917,0.9768288761465248,-0.0234437946380223,0.0906596827823244,0.0080287304888754,0.290404924938619
SPY,2026-03-19,679.0,1.56,1.6,1.58,1.61,1223.0,1141.0,662.2899780273438,0.0082191780821917,0.975390247462951,-0.0249176342563229,0.0906596827823244,0.008016906143531,0.28516916527983543
SPY,2026-03-19,680.0,1.34,1.38,1.36,1.36,5816.0,3117.0,662.2899780273438,0.0082191780821917,0.9739558500402112,-0.0263893048677791,0.0906596827823244,0.0080051165756728,0.28103418383383744
SPY,2026-03-19,681.0,1.13,1.17,1.15,1.15,1599.0,1139.0,662.2899780273438,0.0082191780821917,0.9725256652383902,-0.0278588128471391,0.0906596827823244,0.0079933616320962,0.2760484953788519
SPY,2026-03-19,682.0,0.95,0.98,0.965,0.98,1765.0,1178.0,662.2899780273438,0.0082191780821917,0.9710996745268968,-0.0293261645410889,0.0906596827823244,0.0079816411604949,0.27127309204053884
SPY,2026-03-19,683.0,0.79,0.82,0.8049999999999999,0.84,1487.0,716.0,662.2899780273438,0.0082191780821917,0.9696778594836658,-0.0307913662684168,0.0906596827823244,0.0079699550094547,0.26684995203542705
SPY,2026-03-19,684.0,0.65,0.68,0.665,0.66,1455.0,1472.0,662.2899780273438,0.0082191780821917,0.9682602017943622,-0.0322544243201772,0.0906596827823244,0.0079583030284467,0.2624920790945888
