ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity
SPY,2026-03-20,385.0,276.65,277.15,276.9,289.46,2.0,176.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,390.0,271.66,272.15,271.905,278.6,2.0,1553.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,395.0,266.66,267.15,266.905,284.52,20.0,1155.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,400.0,261.66,262.16,261.91,263.07,12.0,413.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,405.0,256.67,257.16,256.915,263.72,2.0,422.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,410.0,250.52,253.32,251.92,261.5,5.0,29.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,415.0,245.52,248.33,246.925,260.86,2.0,10.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,420.0,241.67,242.17,241.92,256.13,4.0,106.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,425.0,236.7,237.17,236.935,253.32,3.0,124.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,430.0,231.68,232.18,231.93,244.64,22.0,702.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,435.0,226.68,227.18,226.93,241.83,25.0,1107.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,440.0,221.71,222.19,221.95,224.11,12.0,42.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,445.0,216.7,217.19,216.945,217.35,6.0,547.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,450.0,211.72,212.2,211.96,225.82,1.0,291.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,455.0,206.7,207.2,206.95,216.4,75.0,109.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,460.0,201.71,202.21,201.96,221.61,1.0,716.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,465.0,196.71,197.21,196.96,210.94,2002.0,1116.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,470.0,191.72,192.22,191.97,195.42,1.0,1741.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,475.0,186.73,187.23,186.98,188.69,8.0,987.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,480.0,181.73,182.23,181.98,192.04,1.0,241.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,485.0,175.59,178.39,176.99,179.38,2.0,68.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,490.0,171.75,172.25,172.0,180.03,10.0,349.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,495.0,166.77,167.26,167.015,187.22,1.0,598.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,500.0,161.77,162.27,162.02,166.9,45.0,1324.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,505.0,156.77,157.28,157.025,157.71,1.0,335.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,510.0,151.78,152.29,152.035,157.41,8.0,262.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,515.0,146.81,147.3,147.055,147.6,3.0,322.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,520.0,141.8,142.3,142.05,142.02,12.0,315.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,525.0,136.81,137.32,137.065,137.72,17.0,590.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,530.0,131.82,132.33,132.075,132.13,8.0,2153.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,535.0,126.84,127.33,127.085,127.45,524.0,1752.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,540.0,121.86,122.34,122.1,122.51,525.0,513.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,545.0,116.87,117.36,117.115,117.15,1015.0,318.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,550.0,111.88,112.37,112.125,112.03,5160.0,1083.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,555.0,106.9,107.39,107.145,107.55,290.0,202.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,560.0,101.92,102.41,102.165,102.11,1048.0,1716.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,565.0,96.94,97.42,97.18,97.34,1222.0,719.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,570.0,91.97,92.44,92.205,92.13,1854.0,2061.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,575.0,86.99,87.46,87.225,88.25,1197.0,1171.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,580.0,81.99,82.49,82.24,84.38,86.0,2625.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,585.0,77.04,77.52,77.28,77.57,23.0,1705.0,662.2899780273438,0.010958904109589041
