ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction
SPY,2026-03-18,690.0,0.08,0.09,0.0849999999999999,0.09,1473.0,1699.0,662.2899780273438,0.0054794520547945,0.9598405478657156,-0.040988104288931806,0.07402332101976039,0.005259400262277874
SPY,2026-03-18,691.0,0.06,0.07,0.065,0.06,1283.0,1352.0,662.2899780273438,0.0054794520547945,0.9584514877385583,-0.04243633046529664,0.07402332101976039,0.005251788973909889
SPY,2026-03-18,692.0,0.04,0.06,0.05,0.05,1544.0,3087.0,662.2899780273438,0.0054794520547945,0.9570664422360459,-0.04388246231529634,0.07402332101976039,0.005244199683485163
SPY,2026-03-18,693.0,0.03,0.04,0.035,0.03,602.0,1188.0,662.2899780273438,0.0054794520547945,0.955685393978851,-0.04532650588753001,0.07402332101976039,0.005236632295774506
SPY,2026-03-18,694.0,0.02,0.03,0.025,0.04,933.0,1655.0,662.2899780273438,0.0054794520547945,0.9543083256878152,-0.04676846720443126,0.07402332101976039,0.005229086716097598
SPY,2026-03-19,530.0,130.66,133.46,132.06,145.69,2.0,2.0,662.2899780273438,0.0082191780821917,1.2496037321270637,0.2228264867562057,0.09065968278232447,0.01027071560652371
SPY,2026-03-19,560.0,100.76,103.56,102.16,115.93,2.0,2.0,662.2899780273438,0.0082191780821917,1.1826606750488282,0.1677667095731784,0.09065968278232447,0.00972049869903137
SPY,2026-03-19,615.0,46.23,49.03,47.629999999999995,57.98,2.0,2.0,662.2899780273438,0.0082191780821917,1.0768942732151932,0.07408122549585543,0.09065968278232447,0.008851185807248077
SPY,2026-03-19,650.0,16.39,16.7,16.545,16.89,2014.0,227.0,662.2899780273438,0.0082191780821917,1.0189076585036059,0.018731130412690547,0.09065968278232447,0.008374583494550104
SPY,2026-03-19,655.0,12.87,13.18,13.025,13.0,665.0,1205.0,662.2899780273438,0.0082191780821917,1.0111297374463264,0.011068257667121377,0.09065968278232447,0.008310655376271094
SPY,2026-03-19,656.0,12.3,12.43,12.365,13.41,89.0,6.0,662.2899780273438,0.0082191780821917,1.0095883811392434,0.009542704358284106,0.09065968278232447,0.00829798669429507
SPY,2026-03-19,660.0,9.81,9.86,9.835,9.87,251.0,277.0,662.2899780273438,0.0082191780821917,1.0034696636777936,0.003463658281902004,0.09065968278232447,0.008247695865844798
SPY,2026-03-19,661.0,9.22,9.27,9.245,9.15,125.0,19.0,662.2899780273438,0.0082191780821917,1.0019515552607319,0.001949653450686981,0.09065968278232447,0.008235218262416893
SPY,2026-03-19,662.0,8.65,8.69,8.67,8.7,317.0,168.0,662.2899780273438,0.0082191780821917,1.000438033273933,0.0004379373653649738,0.09065968278232447,0.008222778355676082
SPY,2026-03-19,663.0,8.09,8.13,8.11,8.13,1058.0,198.0,662.2899780273438,0.0082191780821917,0.9989290769643194,-0.001071496883489222,0.09065968278232447,0.00821037597504912
SPY,2026-03-19,664.0,7.55,7.59,7.57,7.58,1044.0,256.0,662.2899780273438,0.0082191780821917,0.9974246657038309,-0.002578656174060636,0.09065968278232447,0.008198010950990311
SPY,2026-03-19,665.0,7.01,7.06,7.035,7.05,2514.0,836.0,662.2899780273438,0.0082191780821917,0.9959247789884869,-0.004083547353480885,0.09065968278232447,0.008185683114973785
SPY,2026-03-19,666.0,6.5,6.55,6.525,6.43,1023.0,173.0,662.2899780273438,0.0082191780821917,0.9944293964374531,-0.005586177238015882,0.09065968278232447,0.008173392299485835
SPY,2026-03-19,667.0,6.01,6.05,6.029999999999999,6.03,1462.0,367.0,662.2899780273438,0.0082191780821917,0.9929384977921195,-0.007086552613250533,0.09065968278232447,0.00816113833801734
SPY,2026-03-19,668.0,5.53,5.58,5.555,5.79,1342.0,769.0,662.2899780273438,0.0082191780821917,0.9914520629151853,-0.008584680234272458,0.09065968278232447,0.008148921065056238
SPY,2026-03-19,669.0,5.08,5.12,5.1,5.15,1538.0,637.0,662.2899780273438,0.0082191780821917,0.9899700717897515,-0.010080566825855213,0.09065968278232447,0.00813674031608007
SPY,2026-03-19,670.0,4.64,4.67,4.654999999999999,4.68,5539.0,988.0,662.2899780273438,0.0082191780821917,0.9884925045184235,-0.011574219082638492,0.09065968278232447,0.008124595927548607
SPY,2026-03-19,671.0,4.21,4.25,4.23,4.21,1368.0,590.0,662.2899780273438,0.0082191780821917,0.9870193413224199,-0.013065643669308588,0.09065968278232447,0.008112487736896523
SPY,2026-03-19,672.0,3.81,3.85,3.83,3.85,1658.0,695.0,662.2899780273438,0.0082191780821917,0.9855505625406901,-0.014554847220776343,0.09065968278232447,0.00810041558252614
SPY,2026-03-19,673.0,3.42,3.46,3.44,3.47,1558.0,1107.0,662.2899780273438,0.0082191780821917,0.9840861486290398,-0.016041836342354555,0.09065968278232447,0.008088379303800247
SPY,2026-03-19,674.0,3.06,3.1,3.08,3.03,2380.0,943.0,662.2899780273438,0.0082191780821917,0.9826260801592637,-0.01752661760993385,0.09065968278232447,0.008076378741034965
SPY,2026-03-19,675.0,2.71,2.76,2.735,2.75,5615.0,2472.0,662.2899780273438,0.0082191780821917,0.981170337818287,-0.019009197570156625,0.09065968278232447,0.00806441373549269
SPY,2026-03-19,676.0,2.39,2.44,2.415,2.44,1586.0,893.0,662.2899780273438,0.0082191780821917,0.9797189024073132,-0.020489582740590907,0.09065968278232447,0.008052484129375098
SPY,2026-03-19,677.0,2.1,2.14,2.12,2.15,1603.0,643.0,662.2899780273438,0.0082191780821917,0.9782717548409804,-0.021967779609901796,0.09065968278232447,0.008040589765816198
SPY,2026-03-19,678.0,1.82,1.86,1.84,1.86,1551.0,825.0,662.2899780273438,0.0082191780821917,0.9768288761465247,-0.023443794638022344,0.09065968278232447,0.008028730488875467
SPY,2026-03-19,679.0,1.56,1.6,1.58,1.61,1223.0,1141.0,662.2899780273438,0.0082191780821917,0.975390247462951,-0.024917634256322922,0.09065968278232447,0.008016906143531026
SPY,2026-03-19,680.0,1.34,1.38,1.36,1.36,5816.0,3117.0,662.2899780273438,0.0082191780821917,0.9739558500402113,-0.026389304867779198,0.09065968278232447,0.008005116575672891
