contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T
SPY260116C00687000,2026-01-02 21:03:04+00:00,687.0,4.7,4.65,4.68,-0.11000013,-2.286905,1208.0,4591,0.1243373699951172,False,REGULAR,USD,2026-01-16,12,683.1699829101562,4.665,0.9944250115140557,0.03287671232876712
SPY260116C00688000,2026-01-02 21:12:29+00:00,688.0,4.11,4.16,4.19,-0.27999973,-6.378126,2307.0,5488,0.1222927127075195,False,REGULAR,USD,2026-01-16,12,683.1699829101562,4.175000000000001,0.9929796263229015,0.03287671232876712
SPY260116C00689000,2026-01-02 21:14:56+00:00,689.0,3.72,3.71,3.74,-0.07999992,-2.105261,17326.0,3592,0.1204921936035156,False,REGULAR,USD,2026-01-16,12,683.1699829101562,3.725,0.9915384367346245,0.03287671232876712
SPY260116C00690000,2026-01-02 21:14:39+00:00,690.0,3.27,3.28,3.31,-0.24000001,-6.8376074,15601.0,29416,0.1185390881347656,False,REGULAR,USD,2026-01-16,12,683.1699829101562,3.295,0.9901014245074728,0.03287671232876712
SPY260116C00691000,2026-01-02 21:11:47+00:00,691.0,2.89,2.89,2.92,-0.19999981,-6.4724865,1770.0,2245,0.1168606381225585,False,REGULAR,USD,2026-01-16,12,683.1699829101562,2.9050000000000002,0.9886685715052912,0.03287671232876712
SPY260116C00692000,2026-01-02 21:09:57+00:00,692.0,2.54,2.53,2.55,-0.18000007,-6.6176496,1267.0,2485,0.114968567199707,False,REGULAR,USD,2026-01-16,12,683.1699829101562,2.54,0.9872398596967575,0.03287671232876712
SPY260116C00693000,2026-01-02 21:12:15+00:00,693.0,2.15,2.2,2.22,-0.15999985,-6.9264,3216.0,4417,0.1133511517333984,False,REGULAR,USD,2026-01-16,12,683.1699829101562,2.21,0.9858152711546266,0.03287671232876712
SPY260116C00694000,2026-01-02 21:03:40+00:00,694.0,1.9,1.9,1.92,-0.16999996,-8.212559,2897.0,2931,0.111764253540039,False,REGULAR,USD,2026-01-16,12,683.1699829101562,1.91,0.9843947880549802,0.03287671232876712
SPY260116C00695000,2026-01-02 21:14:53+00:00,695.0,1.63,1.63,1.65,-0.19000006,-10.439564,13097.0,24801,0.1102994244384765,False,REGULAR,USD,2026-01-16,12,683.1699829101562,1.64,0.9829783926764838,0.03287671232876712
SPY260116C00696000,2026-01-02 21:02:15+00:00,696.0,1.41,1.39,1.41,-0.14999998,-9.615383,1138.0,2849,0.1088956298828125,False,REGULAR,USD,2026-01-16,12,683.1699829101562,1.4,0.9815660673996498,0.03287671232876712
SPY260116C00697000,2026-01-02 21:09:00+00:00,697.0,1.16,1.17,1.19,-0.19000006,-14.074079,2138.0,3017,0.1073697662353515,False,REGULAR,USD,2026-01-16,12,683.1699829101562,1.18,0.9801577947061065,0.03287671232876712
SPY260116C00698000,2026-01-02 21:11:17+00:00,698.0,0.98,0.98,1.0,-0.16999996,-14.782604,2029.0,3261,0.1060270062255859,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.99,0.9787535571778743,0.03287671232876712
SPY260116C00699000,2026-01-02 21:10:13+00:00,699.0,0.82,0.81,0.82,-0.13,-13.68421,658.0,2818,0.1042570043945312,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.815,0.977353337496647,0.03287671232876712
SPY260116C00700000,2026-01-02 21:14:56+00:00,700.0,0.68,0.67,0.68,-0.13999999,-17.07317,13878.0,48808,0.1030973480224609,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.675,0.9759571184430803,0.03287671232876712
SPY260116C00701000,2026-01-02 21:10:57+00:00,701.0,0.55,0.55,0.56,-0.13999999,-20.289854,15728.0,3637,0.1020597607421874,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.555,0.9745648828960859,0.03287671232876712
SPY260116C00702000,2026-01-02 21:11:56+00:00,702.0,0.45,0.44,0.46,-0.17000002,-27.41936,1050.0,3224,0.1012052770996093,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.45,0.9731766138321314,0.03287671232876712
SPY260116C00703000,2026-01-02 21:13:29+00:00,703.0,0.36,0.35,0.37,-0.089999974,-19.999994,843.0,5188,0.0999845861816406,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.36,0.9717922943245466,0.03287671232876712
SPY260116C00704000,2026-01-02 21:13:09+00:00,704.0,0.28,0.29,0.3,-0.109999985,-28.205126,523.0,4576,0.0992521716308593,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.295,0.9704119075428356,0.03287671232876712
SPY260116C00705000,2026-01-02 21:14:59+00:00,705.0,0.24,0.23,0.24,-0.10000001,-29.411766,4119.0,24495,0.0983976879882812,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.235,0.9690354367519947,0.03287671232876712
SPY260116C00706000,2026-01-02 21:03:52+00:00,706.0,0.18,0.18,0.19,-0.07999998,-30.769226,325.0,2899,0.0976652734375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.185,0.9676628653118361,0.03287671232876712
SPY260116C00707000,2026-01-02 21:14:07+00:00,707.0,0.15,0.14,0.16,-0.06999999,-31.818178,750.0,2874,0.0979094116210937,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.15000000000000002,0.9662941766763172,0.03287671232876712
SPY260116C00708000,2026-01-02 20:47:29+00:00,708.0,0.11,0.12,0.13,-0.08,-42.105263,213.0,3660,0.0979094116210937,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.125,0.9649293543928761,0.03287671232876712
SPY260116C00709000,2026-01-02 19:25:12+00:00,709.0,0.11,0.1,0.11,-0.07000001,-38.888893,33.0,1361,0.0983976879882812,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.10500000000000001,0.9635683821017719,0.03287671232876712
SPY260116C00710000,2026-01-02 21:12:37+00:00,710.0,0.08,0.08,0.09,-0.049999997,-38.461536,3757.0,27470,0.0983976879882812,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.08499999999999999,0.9622112435354313,0.03287671232876712
SPY260116C00711000,2026-01-02 20:12:56+00:00,711.0,0.07,0.07,0.08,-0.04,-36.363636,237.0,1906,0.09961837890625,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.07500000000000001,0.9608579225178007,0.03287671232876712
SPY260116C00712000,2026-01-02 20:42:57+00:00,712.0,0.07,0.06,0.07,-0.04,-36.363636,385.0,1193,0.100594931640625,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.065,0.9595084029637025,0.03287671232876712
SPY260116C00713000,2026-01-02 21:00:12+00:00,713.0,0.06,0.05,0.06,-0.040000003,-40.000004,41.0,5213,0.1015714843749999,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.055,0.9581626688781996,0.03287671232876712
SPY260116C00714000,2026-01-02 20:45:47+00:00,714.0,0.05,0.05,0.06,-0.05,-50.0,513.0,1220,0.1045011425781249,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.055,0.9568207043559611,0.03287671232876712
SPY260116C00715000,2026-01-02 21:12:21+00:00,715.0,0.04,0.04,0.05,-0.030000001,-42.857143,2080.0,17984,0.1045011425781249,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.045,0.9554824935806381,0.03287671232876712
SPY260116C00716000,2026-01-02 19:02:43+00:00,716.0,0.04,0.04,0.05,-0.060000002,-60.000004,67.0,779,0.10743080078125,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.045,0.9541480208242406,0.03287671232876712
SPY260116C00717000,2026-01-02 16:36:00+00:00,717.0,0.05,0.04,0.05,-0.02,-28.571426,8.0,804,0.1103604589843749,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.045,0.952817270446522,0.03287671232876712
SPY260116C00718000,2026-01-02 20:26:00+00:00,718.0,0.05,0.03,0.05,-0.02,-28.571426,31.0,1368,0.1132901171875,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.04,0.951490226894368,0.03287671232876712
SPY260116C00719000,2026-01-02 20:58:52+00:00,719.0,0.04,0.03,0.04,-0.030000001,-42.857143,629.0,688,0.1123135644531249,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.035,0.9501668747011909,0.03287671232876712
SPY260116C00720000,2026-01-02 20:59:14+00:00,720.0,0.04,0.03,0.04,0.0,0.0,1075.0,18543,0.11524322265625,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.035,0.9488471984863281,0.03287671232876712
SPY260116C00725000,2026-01-02 21:09:18+00:00,725.0,0.03,0.03,0.04,-0.01,-25.0,238.0,19327,0.1289149609375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.035,0.9423034247036638,0.03287671232876712
SPY260116C00730000,2026-01-02 20:48:41+00:00,730.0,0.02,0.02,0.03,-0.02,-50.0,757.0,19148,0.1367273828125,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.025,0.9358492916577483,0.03287671232876712
SPY260116C00735000,2026-01-02 19:44:04+00:00,735.0,0.02,0.02,0.03,0.0,0.0,780.0,20739,0.149422568359375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.025,0.9294829699457908,0.03287671232876712
SPY260116C00740000,2026-01-02 20:52:12+00:00,740.0,0.02,0.02,0.03,-0.01,-33.333336,130.0,20603,0.16211775390625,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.025,0.9232026796083193,0.03287671232876712
